client_id,training_round,fed_train,fed_val
0_0,0,0.882090024356767,0.8446293758153915
0_2,0,0.8148898851918424,0.6878623273968697
0_3,0,0.8530261782914634,0.8845746986865998
0_4,0,0.8058276411703252,0.6871351062059402
0_5,0,0.9056383036957012,1.346000999569893
1_0,0,0.9392232776438589,0.9132938995196002
1_1,0,0.9349354942925543,0.9049547768204752
1_2,0,0.9158857671155346,0.9148231110651127
1_3,0,0.9300798065156388,0.9451635975907319
1_4,0,0.9136919286504066,0.8794368426077557
1_5,0,0.9406191694329111,1.8216146517844096
2_0,0,0.7197142860614786,0.5293958306607633
2_1,0,0.7309197762287131,2.605840592248605
2_2,0,0.7512237993525523,0.4725322189307449
2_3,0,0.7310737142083692,0.45154780119952587
2_4,0,0.7654048115307209,0.47598115008066194
2_5,0,0.7635127895456904,0.4486184174766635
3_0,0,0.7575076145953253,0.5661343782146772
3_1,0,0.7586882370279023,0.5703546496232351
3_2,0,0.7887791749089956,0.585764522155126
3_3,0,0.7766947812939945,0.5552663992842038
3_4,0,0.7670623437550507,0.5649659125010172
3_5,0,0.7737822547358902,0.5639083890120188
0_0,1,0.7278840800556611,0.7689121500253677
0_2,1,0.5912694859457767,0.5520886703729629
0_3,1,0.7090090651094444,0.7631020706892013
0_4,1,0.5871493157556676,0.5694217213988304
0_5,1,0.7476287991043151,4.161018988847733
1_0,1,0.7920193279818665,0.8147823572376348
1_1,1,0.798944818137361,0.8132029188810473
1_2,1,0.7713123816165993,0.7607094885876579
1_3,1,0.875897901306907,0.9016456279876458
1_4,1,0.7803015627449364,0.7767837080207184
1_5,1,0.8444325663417364,2.5781186574349437
2_0,1,0.4554775441978492,0.39601499756964126
2_1,1,0.45984282534496457,4.318468118510624
2_2,1,0.46943025495491775,0.3980680932798008
2_3,1,0.4660192507446981,0.37879106608947904
2_4,1,0.4788091589568877,0.3810220723695094
2_5,1,0.4718908663181698,0.3867948624757257
3_0,1,0.5620187207272178,0.49645099848508834
3_1,1,0.5670615780216298,0.4997404147187869
3_2,1,0.5878128414777549,0.5062411345044772
3_3,1,0.5549835816613937,0.4811355728904406
3_4,1,0.5614856452141938,0.48106030841668446
3_5,1,0.5688703991962891,0.4910644229253133
0_0,2,0.6988466610824029,0.7515223708152771
0_2,2,0.5303611889716209,0.5331557625532151
0_3,2,0.6730678485134455,0.7372330168485641
0_4,2,0.522565945982933,0.5437340653538704
0_5,2,0.7086417065478685,8.462402857661248
