client_id,training_round,fed_train,fed_val
0_0,0,0.4859611362688185,0.45565084552764895
0_1,0,0.49965255126709074,0.4748010747432709
0_2,0,0.4623445620921653,0.40433122670650484
0_4,0,0.4653908772848723,0.4076674942970276
0_5,0,0.49020643004282255,0.4658610804080963
1_0,0,0.5412998670082299,0.5153894206903277
1_1,0,0.5387384962263725,0.5078757192096571
1_2,0,0.5345689355255031,0.5074352141279374
1_3,0,0.5453240267878814,0.5335491538917931
1_4,0,0.5355724115594686,0.5105803889514756
1_5,0,0.5460712002764503,0.5519109679399615
2_0,0,0.6705266392114115,0.5991124442898401
2_1,0,0.6691719647131714,0.6211867344261396
2_2,0,0.6704975344678935,0.5840019911232561
2_3,0,0.6712856529390111,0.5875865716745358
2_4,0,0.6677740980304924,0.586123928870305
2_5,0,0.6784444439644907,0.6055965644888358
3_0,0,0.6877500329558787,0.5972885555028915
3_1,0,0.6848522354113428,0.5880850263436636
3_2,0,0.6925764779903387,0.6086475984255473
3_3,0,0.692548050594173,0.6032558727264404
3_4,0,0.6903997223432127,0.6049144528309505
3_5,0,0.6892641096522933,0.6022758120298386
0_0,1,0.43312055905034225,0.42860695576667784
0_1,1,0.4489993354466956,0.4445065310001373
0_2,1,0.3953908552804331,0.3676469671726227
0_4,1,0.39716159206206403,0.3667505177259445
0_5,1,0.44494892850400897,0.4410836446285248
1_0,1,0.4940534076459116,0.4829317294333103
1_1,1,0.4870684306612975,0.47278942809487784
1_2,1,0.49333278180883944,0.47898610110265494
1_3,1,0.5277064981863653,0.5216165724461966
1_4,1,0.49600775132505154,0.48501143076994124
1_5,1,0.5221908290823587,0.5443598636745537
2_0,1,0.515424001596722,0.4844008654651075
2_1,1,0.5082433308456459,0.5287713915994852
2_2,1,0.5185197486596949,0.4533477531801356
2_3,1,0.518557558164877,0.4403050143529873
2_4,1,0.5219944310831088,0.45184449187599784
2_5,1,0.5253462772451195,0.4470524371850609
3_0,1,0.5760467152454352,0.5216321444511414
3_1,1,0.5734199578628728,0.5208860047658285
3_2,1,0.5881605566920418,0.5257741322120031
3_3,1,0.5834377057066089,0.5198395369450252
3_4,1,0.584963175223062,0.5241518155733744
3_5,1,0.5801244356522435,0.5205180656909942
0_0,2,0.41909789698799765,0.41950115275382993
0_1,2,0.4350785356102966,0.4349256057739258
0_2,2,0.36840185499566747,0.35203129541873934
0_4,2,0.36797891439884667,0.3463672332763672
0_5,2,0.4369241997130274,0.4335339186191559
1_0,2,0.47729499788164237,0.46850154782733777
1_1,2,0.47257821283323304,0.45914382231931616
1_2,2,0.47266455905900584,0.45919257489434123
1_3,2,0.5268327594875432,0.5148203031425058
1_4,2,0.47518659827949333,0.4623400575488153
1_5,2,0.5223520598608813,0.5413964958521571
2_0,2,0.4419468442598979,0.4703418544613489
2_1,2,0.43748271363038643,0.5077623857720064
2_2,2,0.44535043762595045,0.4240220906120716
2_3,2,0.446139617877848,0.4220373173161308
2_4,2,0.4474457641150437,0.4207675855348606
2_5,2,0.4474366033340202,0.42398563322454397
3_0,2,0.5236419445688003,0.4972327470779419
3_1,2,0.5236699198813815,0.5002378455797831
3_2,2,0.5314759881676812,0.500050417582194
3_3,2,0.5263107551359817,0.4987995187441508
3_4,2,0.5293055880618723,0.4996899616718292
3_5,2,0.5268806282823023,0.4966607964038849
0_0,3,0.4159408861727226,0.4157162148952484
0_1,3,0.43253063345987963,0.43156284976005554
0_2,3,0.3573419445846963,0.3449713659286499
0_4,3,0.35491771409361383,0.3373116087913513
0_5,3,0.4362656468833525,0.4322909444570541
