client_id,training_round,fed_train,fed_val
1_0,0,0.8900522141040658,0.8412364840942578
1_1,0,0.909065011004321,0.8626851265447854
1_2,0,0.8619426139931885,0.8096331828919641
1_3,0,0.9179488141759694,0.924893341360301
1_4,0,0.87093989577868,0.8217585900404157
1_5,0,0.9108065510396477,1.931840607937235
2_0,0,0.6559671119001567,0.4008530549483724
2_1,0,0.6577490313234282,0.8871748975597986
2_2,0,0.6753620636083332,0.4102329157366611
2_3,0,0.6541792407777964,0.3932813690735562
2_4,0,0.676481202683028,0.4105298893876595
2_5,0,0.6780253888345232,0.4532098773092327
3_0,0,0.7176639965098155,0.5359073454141616
3_1,0,0.7089677470932273,0.5422209361195565
3_2,0,0.7309906876793033,0.5381052626172701
3_3,0,0.6993443060078119,0.5160226195057234
3_4,0,0.7198576093896439,0.5275410611430804
3_5,0,0.718641538761164,0.5327318362394968
1_0,1,0.7545921520041905,0.7905466204142049
1_1,1,0.7823350567826264,0.811984885239253
1_2,1,0.7264604223289078,0.7296658952305787
1_3,1,0.8666065694938461,0.8846341180105279
1_4,1,0.747248893751086,0.7517488504195735
1_5,1,0.8301886399444058,2.5155051435432294
2_0,1,0.4194513205804077,0.4715472508480053
2_1,1,0.4220050552896425,3.272761776600734
2_2,1,0.43109167747053445,0.3702624564123626
2_3,1,0.42627617585308414,0.3660608385459031
2_4,1,0.43396090007587973,0.373939248447371
2_5,1,0.4312538576184535,0.3714387663225136
3_0,1,0.5323165579649963,0.4810492184758186
3_1,1,0.524159334109802,0.4862446122368177
3_2,1,0.5380422336686599,0.48411649723847705
3_3,1,0.5217522760657104,0.4680393261710803
3_4,1,0.5254802163690329,0.47305738081534704
3_5,1,0.5310037047847321,0.4786065563559532
1_0,2,0.7443456239730334,0.7818078516173537
1_1,2,0.7721347821702202,0.7975539676029316
1_2,2,0.6964933463244987,0.7132012980045194
1_3,2,0.8575301326328902,0.8707177529152292
1_4,2,0.7169971389950608,0.7396266371229269
1_5,2,0.8251338349722273,2.637523816993637
2_0,2,0.3885677543779214,0.5187568183582608
2_1,2,0.39206451411340754,3.25286015787042
2_2,2,0.3993053079820147,0.3564330436068006
2_3,2,0.3997699277950268,0.3542826647805695
2_4,2,0.4048353055236386,0.3617530529304306
2_5,2,0.40247637946523873,0.363908655720182
3_0,2,0.4977820355347113,0.4737679236133893
3_1,2,0.49076269218992247,0.4677467835942904
3_2,2,0.5019901345336908,0.4686080031593641
3_3,2,0.48893564248359517,0.45068468143542606
3_4,2,0.48942331989344795,0.4499585235118866
3_5,2,0.49821005381741806,0.4632685718933741
1_0,3,0.738362366668612,0.7783839194661509
1_1,3,0.7671031874182414,0.7883039476880191
1_2,3,0.6840975541862653,0.7082315611578253
1_3,3,0.8537672645539689,0.8706075170614423
1_4,3,0.7029852825585458,0.7294817329758275
1_5,3,0.8182583873113283,1.9110036752302282
2_0,3,0.37691566684082445,0.9597160435549104
2_1,3,0.3831324893615994,1.934163633254495
2_2,3,0.38759026267364916,0.35080187111207756
2_3,3,0.39008594881377967,0.3469974715815912
2_4,3,0.3942771108784512,0.35375874585444383
2_5,3,0.3907849015120198,0.3969495615894251
3_0,3,0.4833215117258461,0.4561725574731827
3_1,3,0.47598879892182977,0.4754215408364932
3_2,3,0.48983062833155455,0.46157940218846005
3_3,3,0.4749282886715312,0.44680562019348147
3_4,3,0.47457450245948213,0.44068916092316307
3_5,3,0.4874346540554574,0.45633151908715563
1_0,4,0.733598624148386,0.7731295222566076
1_1,4,0.7653146886246668,0.7835234832154573
1_2,4,0.6762640504367489,0.70545554264401
1_3,4,0.8495474113620443,0.8619080138032453
1_4,4,0.69840990226689,0.722811873268037
1_5,4,0.8153508246052179,1.8637819123746704
2_0,4,0.3722942998888446,1.2730078245743666
2_1,4,0.37713398813616994,2.0980269933986193
2_2,4,0.3840189237951064,0.34306235493409754
2_3,4,0.3864445975598167,0.34480406476719544
2_4,4,0.38944680762349393,0.3505691747264107
2_5,4,0.3880635156643157,0.44154631796449717
3_0,4,0.47690581447003705,0.4559060367941856
3_1,4,0.46892977902959837,0.4528323102990786
3_2,4,0.482731238987885,0.45634412616491316
3_3,4,0.46844207774847746,0.43856177578369776
3_4,4,0.4673385428460805,0.4373746684193611
3_5,4,0.48149410439165014,0.44890758375326795
1_0,5,0.7304202438258439,0.7680590750962278
1_1,5,0.7568935173556959,0.7718494576911856
1_2,5,0.6683567819192255,0.7010095395746022
1_3,5,0.8443926108076418,0.8586823388825368
1_4,5,0.6911475737210658,0.7189915348796079
1_5,5,0.8137656997004858,1.5115363293320594
2_0,5,0.3716892702687605,0.7416908348550891
2_1,5,0.3749731689253274,2.3659320096715843
2_2,5,0.37904346924202115,0.34585009190705746
2_3,5,0.3838380334862307,0.34188512528296744
2_4,5,0.38526286560969025,0.349643411170138
2_5,5,0.38532111567317273,0.48549214861180523
3_0,5,0.4728806020299855,0.4525646481911341
3_1,5,0.4665734623313734,0.44871426502863565
3_2,5,0.4777053115693362,0.45485527018706
3_3,5,0.4641308947711399,0.4366075309117635
3_4,5,0.4636904631104124,0.4329921077688535
3_5,5,0.47877428214997053,0.4456859747568766
1_0,6,0.7213505184907707,0.7656100071477194
1_1,6,0.7511514291274461,0.7694362751106276
1_2,6,0.6643797975542735,0.6997888985559018
1_3,6,0.8399056611086825,0.8579752234211804
1_4,6,0.685962352070877,0.716227241458684
1_5,6,0.8067321481464578,1.4507237041953707
2_0,6,0.36800750527603954,0.8740303553272002
2_1,6,0.37335854330483603,1.386788224082182
2_2,6,0.3784224072873008,0.3438532395233022
2_3,6,0.3818347194761622,0.3413518137565934
2_4,6,0.38407658365573366,0.34572605427243924
2_5,6,0.3834056585442786,0.49379494019074016
3_0,6,0.4706612675891895,0.44995386610428495
3_1,6,0.46163680473048435,0.4491918329397837
3_2,6,0.47455170191824436,0.4559015773733457
3_3,6,0.46135191521362257,0.4339239479104678
3_4,6,0.4591972192161177,0.4341328364610672
3_5,6,0.475447000298453,0.4490148174762726
1_0,7,0.7182596572440305,0.7686284169228408
1_1,7,0.745713574637612,0.7631772321506138
1_2,7,0.6587221841160342,0.7031179086787858
1_3,7,0.8381547580520026,0.8531705305306581
1_4,7,0.6817682292178381,0.712748202746802
1_5,7,0.8045173683505265,1.3245669291184767
2_0,7,0.3684547419714577,1.1120231539601146
2_1,7,0.37225910444177834,1.693924450785807
2_2,7,0.3774430858446102,0.34171589161499893
2_3,7,0.38047971174705264,0.3743251784898267
2_4,7,0.38171158723679244,0.34985585658266993
2_5,7,0.38278672442424533,0.5753594213488078
3_0,7,0.4683450281521992,0.4480949346224467
3_1,7,0.46267918595357943,0.44943033665418625
3_2,7,0.47411859192346273,0.45560744176308315
3_3,7,0.4587905508662133,0.43270004391670225
3_4,7,0.45750649219476863,0.43048409253358844
3_5,7,0.4737496537793624,0.4427375779549281
1_0,8,0.7116132762899502,0.761251839734342
1_1,8,0.7413041401359675,0.7641265660959439
1_2,8,0.6550587868358163,0.6964094053654775
1_3,8,0.838429746063922,0.8520122821966227
1_4,8,0.6784343194725703,0.7204936288134025
